timestamp_ms,distance_cm,valid_samples,ground_truth
71500,98.9,7,100
71628,98.8,7,100
71755,99.33,7,100
71883,99.45,7,100
72010,99.32,7,100
72138,98.93,7,100
72265,99.39,7,100
72393,99.41,7,100
72520,99.14,7,100
72648,99.09,7,100
72775,99.18,7,100
72903,98.97,7,100
73030,98.69,7,100
73158,98.76,7,100
73285,98.9,7,100
73412,98.84,7,100
73540,98.79,7,100
73667,98.54,7,100
73794,98.55,7,100
73921,98.37,7,100
74049,98.67,7,100
74176,98.56,7,100
74303,98.74,7,100
74430,98.96,7,100
74558,98.74,7,100
74685,98.67,7,100
74812,98.69,7,100
74940,98.86,7,100
75067,99.36,7,100
75195,99.91,7,100
75322,100.32,7,100
75450,100.32,7,100
75578,100.53,7,100
75706,100.08,7,100
75834,100.25,7,100
75962,100.62,7,100
76090,100.71,7,100
76219,100.24,7,100
76347,99.86,7,100
76474,100.16,7,100
76602,100.22,7,100
76730,100.6,7,100
76858,100.69,7,100
76987,100.7,7,100
77115,100.72,7,100
77243,100.55,7,100
77371,100.11,7,100
77499,100.11,7,100
77627,100.01,7,100
77755,100.17,7,100
77883,100.25,7,100
78011,100.75,7,100
78139,102.27,7,100
78268,101.87,7,100
78396,101.79,7,100
78525,101.46,7,100
78653,101.82,7,100
78782,102.14,7,100
78910,102.6,7,100
79039,101.53,7,100
79168,102.1,7,100
79297,102.14,7,100
79425,101.5,7,100
79554,100.91,7,100
79682,99.82,7,100
79810,99.62,7,100
79938,99.7,7,100
80065,99.71,7,100
80193,99.71,7,100
80321,100.03,7,100
80448,100.06,7,100
80576,99.9,7,100
80704,99.84,7,100
80832,100.01,7,100
80960,100.69,7,100
81088,100.8,7,100
81216,100.54,7,100
81344,100.04,7,100
81472,100.09,7,100
81600,100.89,7,100
81728,100.71,7,100
81856,99.94,7,100
81984,99.76,7,100
82112,99.91,7,100
82240,100.09,7,100
82368,100.53,7,100
82496,100.32,7,100
82624,100.03,7,100
82752,99.94,7,100
82879,99.43,7,100
83007,99.26,7,100
83135,99.49,7,100
83262,99.12,7,100
83390,98.85,7,100
83517,99.34,7,100
83645,99.06,7,100
83772,99.32,7,100
83900,100.05,7,100
84028,100.16,7,100
84155,100.29,7,100
84283,100.26,7,100
84411,100.3,7,100
84539,100.41,7,100
84667,100.35,7,100
84795,100.29,7,100
84923,100.34,7,100
85051,100.38,7,100
85179,100.44,7,100
85308,100.51,7,100
85436,100.51,7,100
85564,100.41,7,100
85692,100.35,7,100
85820,100.43,7,100
85948,100.35,7,100
86076,100.37,7,100
86204,100.88,7,100
86332,100.42,7,100
86460,99.92,7,100
86588,100.18,7,100
86716,100.46,7,100
86844,100.36,7,100
86972,99.72,7,100
87100,99.77,7,100
87227,99.72,7,100
87355,99.9,7,100
87483,99.89,7,100
87611,100.02,7,100
87739,99.99,7,100
87866,99.96,7,100
87994,99.43,7,100
88122,99.19,7,100
88249,99.27,7,100
88377,99.32,7,100
88504,99.78,7,100
88632,99.24,7,100
88760,99.17,7,100
88887,99.47,7,100
89015,100.18,7,100
89143,100.18,7,100
89271,100.14,7,100
89399,100.18,7,100
89527,100.19,7,100
89655,100.18,7,100
89783,101.52,7,100
89911,100.38,7,100
90039,100.15,7,100
90167,100.63,7,100
90295,101.16,7,100
90424,100.24,7,100
90552,100.76,7,100
90680,100.11,7,100
90808,100.08,7,100
90936,100.31,7,100
91064,101.94,7,100
91192,100.6,7,100
91320,99.98,7,100
91448,100.24,7,100
91576,100.22,7,100
91704,100.72,7,100
91832,100.18,7,100
91960,101.11,7,100
92089,100.17,7,100
92217,100.65,7,100
92345,99.64,7,100
92473,100.42,7,100
92601,101.25,7,100
92729,99.54,7,100
92857,99.13,7,100
92984,99.01,7,100
93112,99.06,7,100
93239,99.14,7,100
93366,98.84,7,100
93494,98.56,7,100
93621,98.89,7,100
93748,99.25,7,100
93876,99.18,7,100
94003,99.19,7,100
94131,99.18,7,100
94258,99.19,7,100
94386,98.9,7,100
94513,98.94,7,100
94641,98.85,7,100
94768,98.94,7,100
94896,98.87,7,100
95023,98.86,7,100
95150,99.09,7,100
95278,99.27,7,100
95405,99.57,7,100
95533,99.11,7,100
95660,99.56,7,100
95788,99.49,7,100
95916,99.23,7,100
96043,99.27,7,100
96171,99.08,7,100
96297,99.06,7,100
96425,99.34,7,100
96552,99.1,7,100
96680,99.32,7,100
96807,99.25,7,100
96935,99.16,7,100
97062,99.56,7,100
97190,99.86,7,100
97318,100.58,7,100
97446,101.37,7,100
97574,101.41,7,100
97703,101.1,7,100
97831,100.37,7,100
97959,100.19,7,100
98087,100.06,7,100
98215,99.99,7,100
98343,99.99,7,100
98471,99.99,7,100
98598,99.99,7,100
98726,100.02,7,100
98854,99.97,7,100
98982,99.97,7,100
99110,99.98,7,100
99237,100.05,7,100
99365,99.98,7,100
99493,100.26,7,100
99621,100.21,7,100
99749,100.17,7,100
99877,100.26,7,100
100005,100.8,7,100
100133,101.37,7,100
100262,101.43,7,100
100390,101.34,7,100
100518,100.89,7,100
100647,100.64,7,100
100775,100.34,7,100
100903,100.26,7,100
101031,100.26,7,100
101159,100.27,7,100
101287,100.27,7,100
101415,100.42,7,100
101543,100.17,7,100
101671,100.15,7,100
101799,100.16,7,100
101927,100.16,7,100
102055,100.16,7,100
102183,100.1,7,100
102311,99.98,7,100
102439,100.07,7,100
102567,99.87,7,100
102695,100.14,7,100
102823,100.15,7,100
102950,100.17,7,100
103078,100.23,7,100
103206,100.2,7,100
103334,100.11,7,100
103462,100.04,7,100
103590,99.98,7,100
103718,99.96,7,100
103846,99.85,7,100
103974,99.97,7,100
104102,99.91,7,100
104230,99.53,7,100
104357,99.83,7,100
104485,100.03,7,100
104613,100.05,7,100
104741,99.98,7,100
104869,100.01,7,100
104997,100.04,7,100
105125,100.29,7,100
105253,101.28,7,100
105381,101.86,7,100
105510,102.44,7,100
105639,102.03,7,100
105767,101.73,7,100
105896,101.93,7,100
106025,101.98,7,100
106153,102.02,7,100
106283,102.15,7,100
106412,102.2,7,100
106541,102.27,7,100
106670,103.13,7,100
106799,104.14,7,100
106928,105.31,7,100
107058,102.44,7,100
107188,102.34,7,100
107316,103.57,7,100
107446,102.92,7,100
107575,101.49,7,100
107704,101.42,7,100
107832,101.35,7,100
107961,102.68,7,100
108090,102.08,7,100
108218,102.48,7,100
108347,103.13,7,100
108476,101.74,7,100
108605,101.37,7,100
108734,101.53,7,100
108862,101.5,7,100
108991,100.95,7,100
109119,100.14,7,100
109247,100.33,7,100
109375,100.02,7,100
109503,100.63,7,100
109631,100.71,7,100
109759,99.9,7,100
109887,100.09,7,100
110015,100.23,7,100
110143,100.27,7,100
110271,100.16,7,100
110399,99.77,7,100
110527,99.92,7,100
110655,99.59,7,100
110782,99.6,7,100
110910,99.8,7,100
111038,99.47,7,100
111166,99.58,7,100
111293,99.55,7,100
111421,99.07,7,100
111548,98.93,7,100
111676,99.14,7,100
111803,99.43,7,100
111931,99.24,7,100
112059,99.47,7,100
112186,99.44,7,100
112314,99.9,7,100
112442,99.51,7,100
112569,99.39,7,100
112697,99.39,7,100
112825,99.36,7,100
112952,99.37,7,100
113080,99.18,7,100
113207,99.04,7,100
113335,99.31,7,100
113463,99.5,7,100
113590,99.47,7,100
113718,98.96,7,100
113845,98.79,7,100
113973,98.75,7,100
114100,98.71,7,100
114228,98.89,7,100
114355,99.02,7,100
114482,98.75,7,100
114610,98.93,7,100
114737,99.3,7,100
114865,98.72,7,100
114992,98.55,7,100
115120,98.55,7,100
115247,98.66,7,100
115374,98.46,7,100
115501,98.4,7,100
115629,98.43,7,100
115756,98.57,7,100
115883,98.79,7,100
116011,98.84,7,100
116137,98.89,7,100
116264,98.81,7,100
116392,98.63,7,100
116519,98.6,7,100
116647,98.74,7,100
116774,98.64,7,100
116901,98.67,7,100
117029,98.51,7,100
117156,98.25,7,100
117283,97.93,7,100
117410,98.05,7,100
117537,98.27,7,100
117664,98.63,7,100
117792,98.69,7,100
